Number,English,IPA_Eng,Telugu,IPA_Telugu,Roman,PartOfSpeech,Category,English_Example,Telugu_Example
463,battleship,/ˈbætəlʃɪp/,యుద్ధ నౌక,/yuddha naukaṁ/,yuddha naukamu,Noun,Military,The battleship fired its cannons.,యుద్ధ నౌక తుపాకులతో ఆగింది.
464,batty,/ˈbæti/,పిచ్చి,/picci/,picchi,Adjective,Character,He acted a bit batty.,అతను కొంచెం పిచ్చిగా ప్రవర్తించాడు.
465,bauble,/ˈbɔːbəl/,చిన్న అలంకరణ,/cinna ālankaraṇaṁ/,chinna alankaranam,Noun,Ornament,She wore colorful baubles.,ఆమె రంగురంగుల బొమ్మలు ధరించింది.
466,bawd,/bɔːd/,వాసాలాంటి,/vāsālānti/,vāsālānti,Noun,Character,He was known as a bawd.,అతను వాసాలాంటి వ్యక్తి.
467,bawdy,/ˈbɔːdi/,అశ్లీల,/aʂliːla/,ashleela,Adjective,Character,Bawdy jokes are inappropriate.,అశ్లీల జోకులు అనుచితం.
468,bawl,/bɔːl/,అదుపు కోల్పోవడం,/adupu kōlpōvaḍaṁ/,adupu kolpovadam,Verb,Action,The baby began to bawl loudly.,బిడ్డ గట్టిగా ఏడ్చే ప్రారంభించింది.
469,bay,/beɪ/,ఆధారం,/ādhāram/,ādhāram,Noun,Geography,The ship anchored in the bay.,గ Навигация
470,bayonet,/ˈbeɪ.ə.nɪt/,జాతీయ కత్తి,/jātiya katti/,jātiya katti,Noun,Military,The soldier fixed his bayonet.,సైనికుడు జాతీయ కత్తిని పెట్టుకున్నాడు.
471,bayou,/ˈbaɪ.uː/,నీటి కథ,/nīti katha/,nīti katha,Noun,Geography,The bayou was teeming with wildlife.,నీటి కథ జంతువులతో నిండింది.
472,bazaar,/bəˈzɑːr/,బజార్,/bajār/,bajār,Noun,Market,The bazaar was full of colorful goods.,బజార్ రంగురంగుల వస్తువులతో నిండింది.
473,bazantine,/ˈbæz.ənˌtiːn/,బిజాంటైన్,/bijaṇṭain/,bijantain,Adjective,Art,Bazantine art is intricate.,బిజాంటైన్ కళ జఢరమైనది.
474,be,/biː/,ఉండుట,/uṇḍuṭa/,unduṭa,Verb,Action,To be or not to be.,ఉండటం లేదా ఉండకపోవటం.
475,beach,/biːʧ/,తీరం,/tīraṁ/,tīram,Noun,Geography,We walked along the beach.,మేము తీరం వెంట నడిచాము.
476,beacon,/ˈbiːkən/,వెలుగు,/velugu/,velugu,Noun,Object,The beacon guided the ships.,వెలుగు నౌకలను మార్గనిర్దేశం చేసింది.
477,bead,/biːd/,మోగులు,/mōgulu/,mogulu,Noun,Object,She wore a necklace of beads.,ఆమే మొగుల సరాల్లో ధరించింది.
478,beaded,/ˈbiːdɪd/,మోగులతో తడుము,/mōgulatō taḍumu/,mogulato tadumu,Adjective,Description,The beaded curtain shimmered.,మో��ులతో తయారైన పెదవి మెరిసింది.
479,beading,/ˈbiːdɪŋ/,మోగుల కట్టడం,/mōgula kaṭṭaḍaṁ/,mogula kattadam,Noun,Craft,Beading enhances the dress decor.,మోగులు దుస్తుల అలంకరణను మెరుగుపరుస్తాయి.
480,beagle,/ˈbiːɡəl/,బీగల్,/,bīgal,Noun,Animal,The beagle tracked the scent.,బీగల్ వాసనను అనుసరించాడు.
481,beak,/biːk/,నక్కు,/nakku/,nakku,Noun,Body part,The bird's beak is sharp.,పక్షి నక్కు కత్తి.
482,beaker,/ˈbiːkər/,గ్లాస్ గ్లాసు,/glās glāsu/,glass glassu,Noun,Container,The beaker contained the solution.,గ్లాస్ లోలోపల ద్రావణం ఉంది.
483,beam,/biːm/,కిరణం,/kiraṇaṁ/,kiranam,Noun,Light,A ray of beam brightened the room.,కిరణం గది ప్రకాశవంతం చేసింది.
484,bean,/biːn/,పప్పు,/pappu/,pappu,Noun,Food,He planted bean seeds.,అతను పప్పు విత్తనాలు నాటాడు.
485,bear,/bɛər/,ధరిచేయు,/dharicēyu/,dharicheyu,Verb,Action,Bears live in forests.,ధరిచేరు అడవుల్లో నివసిస్తాయి.
486,bearable,/ˈbɛərəbl/,నీడగల,/nīḍagala/,needagala,Adjective,Description,The heat is barely bearable.,వేసవిలో వేడి కనీసం తట్టుకోదగినది.
487,beard,/bɪərd/,గడ్డం,/gaḍḍaṁ/,gaddam,Noun,Body part,He has a thick beard.,అతనికి మందమైన గడ్డం ఉంది.
488,bearer,/ˈbɛərər/,ధారిని,/dhārini/,dharini,Noun,Person,He was the bearer of bad news.,అతను చెడు వార్తల ధారి.
489,bearing,/ˈbɛərɪŋ/,బోధన,/bōdhana/,bodhana,Noun,Navigation,The compass showed the bearing.,కంపాస్ దిశ చూపిస్తుంది.
490,bearish,/ˈbɛərɪʃ/,హింసాత్మక,/hinsātmak/,hinsatmak,Adjective,Character,He had a bearish attitude.,అతనికి హింసాత్మక స్వభావం.
491,beast,/biːst/,పశు,/pashu/,poshu,Noun,Animal,The beast roared loudly.,పశు గట్టిగా గర్జించింది.
492,beastly,/ˈbiːstli/,పశువులా,/pashulula/,poshula,Adjective,Character,He behaved in a beastly manner.,అతను పశువులా ప్రవర్తించాడు.
493,beat,/biːt/,తగ్గించు,/tagginchu/,tagginchu,Verb,Action,She beat the drum.,ఆమె చాపను కొట్టింది.
494,beaten,/ˈbiːtən/,మోపబడిన,/mōpabaḍina/,mopabadina,Adjective,Description,The beaten path was dusty.,తగ్గించిన రस्ता మురికి.
495,beater,/ˈbiːtər/,కొట్టేవాడు,/koṭṭēvāḍu/,kottevaadu,Noun,Person,The beater mixed the batter.,కొట్టేవాడు మిశ్రమాన్ని కలిపాడు.
496,beatific,/biːˈætɪfɪk/,మహానందకరమైన,/mahānanḍakaramaina/,mahānandakaramaina,Adjective,Character,His beatific smile gave all peace.,అతని మహానందకరమైన చిరునవ్వు అందరికీ శాంతినిచ్చింది.
497,beatify,/biːˈætɪfaɪ/,పవిత్రత కలిగించు,/pavitratā kaligiñcu/,pavitratā kaliginchu,Verb,Action,The saint was beatified.,సంతుడికి పవిత్రత కలిగించారు.
498,beating,/ˈbiːtɪŋ/,కొట్టడం,/koṭṭaḍaṁ/,kottadam,Noun,Action,He received a beating for the mistake.,తప్పిదానికి అతడిని కొట్టారు.
499,beatitude,/biːˈætɪtjuːd/,అన్నివిభాగాలలో ఆనందం,/annivibhāgālalo ānandaṁ/,annivibhaagalalo anandam,Noun,Spiritual,The sermon was about beatitude.,ప్రవచనంలో beatitude గురించి చెప్పారు.
500,beau,/boʊ/,ప్రియుడు,/priyuḍu/,priyudu,Noun,Person,He was her beau.,అతను ఆమె ప్రియుడు.
501,beautiful,/ˈbjuː.tɪ.fəl/,అందమైన,/an.da.ma.i.naa/,andamaina,Adjective,Quality,Beautiful flower.,అందమైన పువ్వు.
502,beauty,/ˈbjuːti/,అందం,/andaṁ/,andam,Noun,Quality,Her beauty was admired by all.,ఆమె అందాన్ని అందరూ ప్రశంసించారు.
503,beaver,/ˈbiːvər/,బీవర్,/bīvar/,beavar,Noun,Animal,Beavers build dams in rivers.,బీవర్లు నదుల్లో డ్యాములు వేసుతారు.
504,becalm,/bɪˈkɑːm/,శాంతత కలిగించు,/śāntata kaligiñcu/,shantata kaliginchu,Verb,Action,The sea was becalmed.,సముద్రం నిశ్శబ్దమైంది.
505,became,/bɪˈkeɪm/,అయినది,/ayinadi/,ayindi,Verb,State,He became a doctor.,అతను డాక్టర్ అయ్యాడు.
506,because,/bɪˈkɔːz/,ఎందుకంటే,/endukānte/,endukante,Conjunction,Reason,He was late because of the rain.,వర్షం వల్ల అతను ఆలస్యమయ్యాడు.
507,beck,/bɛk/,కిక్ సూచించు,/kick sūciñcu/,kick soochinchu,Verb,Action,She beckoned him closer.,ఆమె అతనిని దగ్గరికి అవకాశం ఇచ్చింది.
508,beckon,/ˈbɛkən/,ఆహ్వానించు,/āhvānin̄cu/,aahvaninchu,Verb,Action,The light beckoned travelers.,కాంతి ప్రయాణీకులను ఆహ్వానించింది.
509,become,/bɪˈkʌm/,అవడం,/avaḍaṁ/,avadam,Verb,Change,He became a great leader.,అతను గొప్ప నాయకుడు అయ్యాడు.
510,becoming,/bɪˈkʌmɪŋ/,చాలా సరైన,/cālā saraina/,chala saraina,Adjective,Description,Her dress is becoming.,ఆమె దుస్తులు చాలా సరైనవి.
511,bed,/bed/,మంచం,/man.cham/,mancham,Noun,Furniture,I sleep on the bed.,నేను మంచం మీద నిద్రపోతాను.
512,bedaub,/bɪˈdɔːb/,రంగు పూయడం,/raṅgu pūyaḍaṁ/,rangu puyadam,Verb,Action,He bedaubed the floor with paint.,అతను నేలపై రంగు పూయించాడు.
513,bedding,/ˈbɛdɪŋ/,పట్టుబడి ఉంచు,/paṭṭubaḍi uñcu/,pattubadi uncu,Noun,Material,Fresh bedding was laid on the bed.,తాజా పడకపట్టులు పడేశారు.
514,bedeck,/bɪˈdɛk/,ఆలంకరించు,/ālankariñcu/,aalankarinchu,Verb,Action,They bedecked the room for the party.,వారు పార్టీకి గదిని అలంకరించారు.
515,bedevil,/bɪˈdɛvɪl/,పీడించు,/pīḍiñcu/,peedhinchu,Verb,Action,The problem bedevils many farmers.,సమస్య అనేక రైతుల్ని పీడిస్తుంది.
516,bedfellow,/ˈbɛdfɛloʊ/,గది భాగస్వామి,/gadi bhāgasvāmi/,gadi bhagaswaami,Noun,Person,He was his bedfellow in the army.,అతను సైన్యంలో అతని బెడ్ ఫెలో.
517,bedim,/bɪˈdɪm/,నిప్పుగా చేయు,/nippugā cēyu/,nippuga cheyu,Verb,Action,The mist bedimmed the valley.,మబ్బు లోయను నిప్పుగా చేసింది.
518,bedizen,/bɪˈdaɪzən/,అతిగా అలంకరించు,/atigā ālankariñcu/,atiga alankarinchu,Verb,Action,She bedizened herself for the event.,ఆమె ఈ వేడుక కోసం గొప్పగా అలంకరించింది.
519,bedlam,/ˈbɛdləm/,కొంత గందరగోళం,/konta gandaragōḷaṁ/,konta gandaragolam,Noun,Situation,The crowd was absolute bedlam.,కుధిరి సందడి చాలా గందరగోళంగా ఉంది.
520,bedouin,/bəˈduːɪn/,మేజోరి జனம்,/mējōri janaṁ/,mejori janam,Noun,People,Bedouins live in deserts.,మేజోరి జనం ఎడారుల్లో నివసిస్తారు.
521,bedpan,/ˈbɛdpæn/,శరీర మార్గం పిండ పెట్టుట,/śarīra mārgam piṇḍa peṭṭuṭa/,shareera maargam pind petuta,Noun,Tool,The patient used a bedpan.,రోగి బెడ్పాన్ ఉపయోగించాడు.
522,bedpost,/ˈbɛdpoʊst/,పడక మేల పైల్లు,/paḍaka mēla pēlḷu/,padaka mela pallu,Noun,Furniture,The bedpost was made of oak., పడక మేల పైల్లు ఓక్ చెక్కతో తయారు చేయబడింది.
523,bedraggled,/bɪˈdræɡəld/,అశుభ్రమైన,/aśubhramaina/,ashubhramain,Adjective,Appearance,The bedraggled dog looked tired.,అశుభ్రమైన కుక్క అలసిపోయినట్టు కనిపించింది.
524,bedridden,/ˈbɛdrɪdən/,పడిపోటం పాటు లేకుండా ఉండటం,/paḍipōṭaṁ pāṭu lēkuṁḍa uṇḍaṭaṁ/,padipotham paatu lekunda undatam,Adjective,Condition,He was bedridden after the accident.,అపాయంకు తరువాత అతను పడిపోయాడు.
525,bedrock,/ˈbɛdrɒk/,మూల రాయి,/mūla rāyi/,mula raayi,Noun,Geology,The building rests on solid bedrock.,భవనం దృఢమైన మూలరాయిపై ఏర్పడి ఉంది.
526,bedroom,/ˈbɛdruːm/,పరుగుదొడ్డి గది,/paruḡudoḍḍi gadi/,parugudoddi gadi,Noun,Place,The bedroom has two windows.,పరుగుదొడ్డి గదికి రెండు కిటికీలు ఉన్నాయి.
527,bedside,/ˈbɛdsaɪd/,పడక పక్కన/,paḍaka pakkana/,padaka pakkana,Noun,Place,She sat by his bedside.,ఆమె అతని పడక పక్కన కూర్చుంది.
528,bedspread,/ˈbɛdsprɛd/,పటుకట్టు,/paṭukaṭṭu/,patukattu,Noun,Home,The bedspread was beautifully embroidered.,పటుకట్టు అందంగా దద్దరిల్లింది.
529,bedstead,/ˈbɛdstɛd/,పడక మందు,/paḍaka mandu/,padaka mandu,Noun,Furniture,The old bedstead creaked.,పాత పడక మందు చిఱుకుతుంది.
530,bedstraw,/ˈbɛdstrɔː/,ఉప్పు పువ్వు,/uppu puvvu/,uppu puvvu,Noun,Plant,Bedstraw grows in the meadow.,ఉప్పు పువ్వు మైదానంలో పెరుగుతుంది.
531,bedtime,/ˈbɛdtaɪm/,నిద్ర సమయం,/nidra samayaṁ/,nidra samayam,Noun,Time,It's time for bedtime.,ఇప్పుడు నిద్ర సమయం.
532,bee,/biː/,తేనీచట/,tēnīcaṭa/,tenechata,Noun,Animal,The bee collects nectar.,తేనీచట తేనె సేకరిస్తుంది.
533,beech,/biːʧ/,బీచ్ చెట్టు,/bīc ceṭṭu/,beech chettu,Noun,Plant,Beech trees are common.,బీచ్ చెట్లను సర్వత్రా చూడవచ్చు.
534,beef,/biːf/,గో మాంసం,/gō māṁsaṁ/,go maamsam,Noun,Food,They cooked beef for dinner.,వారు డిన్నర్ కి గో మాంసం వండారు.
535,beefy,/ˈbiːfi/,బలమైన,/balamaina/,balamaina,Adjective,Description,He is a beefy man.,అతను బలమైన వ్యక్తి.
536,beehive,/ˈbiːhaɪv/,తేనీ సంచీ,/tēnī sancī/,teni sanchi,Noun,Object,The beehive was buzzing.,తేనీ సంచీ గజగజలాడింది.
537,beeline,/ˈbiːˌlaɪn/,సూటి మార్గం,/sūṭi mārgaṁ/,sooti margam,Noun,Path,He took a beeline home.,అతను సూటి మార్గంలో ఇంటికి చేరుకున్నాడు.
538,been,/biːn/,ఇచ్చింది,/iccina/,ichina,Verb,State,She has been here before.,ఆమె ఇక్కడ ఇంతకు ముందు ఉంది.
539,beep,/biːp/,బీప్ చేయు,/bīp cēyu/,beep cheyu,Verb,Sound,The car beeped loudly.,కారు బీప్ బారింది.
540,beer,/bɪər/,బీరు,/bīru/,beeru,Noun,Drink,They drank beer at the party.,వారు పార్టీ లో బీరు తాగారు.
541,beeswax,/ˈbiːzwæks/,తేనీ మోమసం,/tēnī mōmasaṁ/,teni momasam,Noun,Substance,Beeswax is used to make candles.,తేనీ మోమసం మేలుకొలపుటకు ఉపయోగిస్తారు.
542,beet,/biːt/,చెక్కెర,/cekker/,chekker,Noun,Plant,Beet is good for health.,చెక్కెర ఆరోగ్యానికి మంచిది.
543,beetle,/ˈbiːtl/,చిలుక/బగిలి,/ciluka/bagili/,chiluka/bagili,Noun,Animal,The beetle crawled on the leaf.,చిలుక ఆకుపై ఎగరింది.
544,beetling,/ˈbiːtlɪŋ/,బగిలి పాయకి,/bagili pāyaki/,bagili payaki,Noun,Animal,A beetling insect was seen.,ఒక బగిలి పురుగు కనిపించింది.
545,befall,/bɪˈfɔːl/,గురించు,/gurin̄cu/,gurincu,Verb,Action,Disaster befell the city.,నగరానికి వైపరీత్యం జరిగింది.
546,befit,/bɪˈfɪt/,సరిపోవు,/saripōvu/,saripovu,Verb,Action,The dress befitted her well.,దుస్తులు ఆమెకు బాగా సరిపోయాయి.
547,befitting,/bɪˈfɪtɪŋ/,సరిపోయిన,/saripōyina/,saripoyina,Adjective,Description,The ceremony was befitting.,సంఘటన సరిపోయింది.
548,befog,/bɪˈfɒɡ/,మబ్బుగా చేయు,/mabbugā cēyu/,mabbuga cheyu,Verb,Action,Fog befogged the valley.,మబ్బు మబ్బుగా చేసింది.
549,befool,/bɪˈfuːl/,మోసగించు,/mōsagiñcu/,mosaginchu,Verb,Action,He was befoolled by the lie.,అతడు అబద్ధానికి మోసపోయాడు.
550,before,/bɪˈfɔːr/,ముందు,/mundu/,mundu,Preposition,Time,She arrived before him.,ఆమె అతని ముందు చేరింది.
551,beforehand,/bɪˈfɔːrhænd/,మునుపే,/munupe/,munupe,Adverb,Time,Inform me beforehand.,మునుపే నాకు చెప్పు.
552,befriend,/bɪˈfrɛnd/,స్నేహితుడవు,/snēhitudavu/,snehitudu,Verb,Action,He befriended the new students.,అతను కొత్త విద్యార్థులతో స్నేహపడటం మొదలుపెట్టాడు.
553,befuddle,/bɪˈfʌdl/,ఓర్పు కోల్పోవు,/ōrpu kōlpōvu/,orpu kolpovu,Verb,Action,The noise befuddled him.,ఆ శబ్దము అతన్ని కలవరపెట్టింది.
554,beg,/bɛɡ/,భిక్ష వలగా పెట్టు,/bhikṣa valagā peṭṭu/,bhiksha valaga pettu,Verb,Action,He begged for money.,అతను డబ్బు కోసం భిక్ష పెట్టాడు.
555,begat,/bɪˈɡæt/,పుట్టింది,/puṭṭindi/,puttindi,Verb,Action,She begat three children.,ఆమె ముగ్గురు పిల్లలను పుట్టింది.
556,beget,/bɪˈɡɛt/,పుట్టుకొనుట,/puṭṭukonuṭa/,puttukonuta,Verb,Action,Violence begets violence.,హింస కొన్ని హింసలను పుట్టిస్తుంది.
557,beggar,/ˈbɛɡər/,భిక్షగాడు,/bhikṣagāḍu/,bhikshagadu,Noun,Person,The beggar stood on the street.,భిక్షగాడు వీధిలో ఉన్నాడు.
558,beggary,/ˈbɛɡəri/,భిక్షావృత్తి,/bhikṣāvṛtti/,bhikshavrutti,Noun,Condition,Beggary is common in large cities.,పెద్ద నగరాల్లో భిక్షావృత్తి సాధారణం.
559,begin,/bɪˈɡɪn/,ఆరంభించు,/ārambhin̄cu/,aarambhinchu,Verb,Action,The class will begin soon.,వర్గం త్వరలో ప్రారంభమవుతుంది.
560,beginner,/bɪˈɡɪnər/,ప్రారంభించే వ్యక్తి,/prārambhin̄ce vyakti/,prarambhinche vyakti,Noun,Person,She is a beginner in painting.,ఆమె చిత్రలేఖనంలో ప్రారంభిక.
561,beginning,/bɪˈɡɪnɪŋ/,ప్రారంభం,/prārambhaṁ/,prarambham,Noun,Time,The beginning of the story is interesting.,కథ యొక్క ప్రారంభం ఆసక్తికరం.
562,begone,/bɪˈɡɒn/,వెంటనే ఇక్కడి నుండి వెళ్ళిపో! /దూరంగా పో!,/ʋeɳʈɐneː ikːɐɖi nuɳɖi ʋeɭːipoː / d̪uːrəŋɡaː poː/,venṭanē ikkaḍi nunḍi veḷḷipō! / dūraṅgā pō!,Verb,Action,Begone from this place!,ఈ ప్రాంతం నుండి పో!
563,begonia,/bəˈɡoʊniə/,బెగోనియా,/begōniyā/,begoniya,Noun,Plant,Begonia flowers bloom in spring.,బెగోనియా పువ్వులు వసంతంలో అనురాగిస్తుంది.
564,begot,/bɪˈɡɒt/,పుట్టిన,/puṭṭina/,puttina,Verb,Action,He begot three children.,అతను మూడు పిల్లలను జన్మించాడు.
565,begotten,/bɪˈɡɒtn/,జననం పొందిన,/jananaṁ pondina/,jananam pondina,Adjective,Description,Begotten sons inherited the land.,జన్మించిన కొల్లలు భూమిని వారసత్వంగా పొంది.
566,begrime,/bɪˈɡraɪm/,కాల్చు,/kālcu/,kaalcu,Verb,Action,Dust begrimed the windows.,ధూళి కళ్లడిని కాల్చింది.
567,begrudge,/bɪˈɡrʌdʒ/,అసహ్యం చూపు,/asahyaṁ cūpu/,asahyam choopu,Verb,Action,He begrudged her success.,అతను ఆమె విజయాన్ని అసహ్యపడ్డాడు.
568,beguile,/bɪˈɡaɪl/,మోహమాటలు చెప్పు,/mōhamāṭalu ceppu/,mohamatlu cheppu,Verb,Action,She beguiled the old man.,ఆమె వృద్ధుని మోశեցు.
569,begum,/bɪˈɡʊm/,రాణి,/rāṇi/,raani,Noun,Person,Begum was a noble lady.,బేగుమ్ ఒక గొప్ప రాణి.
570,begun,/bɪˈɡʌn/,ఆరంభించబడింది,/ārambhin̄ca baḍindi/,aarambhinchabadindi,Verb,Action,The work has begun.,పని ప్రారంభించబడింది.
571,behalf,/bɪˈhæf/,పక్షంగా,/pakṣan̄gā/,pakshanga,Noun,Concept,He spoke on behalf of the group.,అతను సమూహం తరఫున మాట్లాడాడు.
572,behave,/bɪˈheɪv/,ప్రవర్తించు,/pravartin̄cu/,pravartinchu,Verb,Action,Children should behave properly.,పిల్లలు సక్రమంగా ప్రవర్తించాలి.
573,behavior,/bɪˈheɪvjər/,ప్రవర్తನೆ,/pravartane/,pravartane,Noun,Character,His behavior was commendable.,అతని ప్రవర్తనే ప్రశంసనీయమైనది.
574,behead,/biːˈhɛd/,తலை కోసు,/talai kōsu/,talai kosu,Verb,Action,The criminal was beheaded.,పరిష్కరటుడు తలకిందుకు తీసుకున్నారు.
575,behemoth,/bɪˈhiːməθ/, పెద్ద జీవి,/pedda jīvi/,pedda jeevi,Noun,Creature,A behemoth can crush anything.,పెద్ద జీవి ఏదైనా కొట్టగలడు.
576,behest,/bɪˈhɛst/,ఆదేశం,/ādeśaṁ/,adesham,Noun,Command,He acted at the king’s behest.,అతను రాజు ఆదేశంతో పని చేశాడు.
577,behind,/bɪˈhaɪnd/,వెనుక,/ve.nu.ka/,venuka,Preposition,Place,Stand behind me.,నా వెనుక నిలబడు.
578,behindhand,/bɪˈhaɪndhænd/,ముందుకు ఆలస్యం కలిగిన,/munduku ālasyaṁ kaligina/,munduku alasyam kaligina,Adjective,Condition,He is behindhand with his work.,అతను తన పనిలో ఆలస్యంగా ఉన్నాడు.
579,behold,/bɪˈhoʊld/,తనిఖీ చేయు,/tanikhī cēyu/,tanikhi cheyu,Verb,Action,Behold the beauty of nature!, ప్రకృతి అందాన్ని చూడండి!
580,beholden,/bɪˈhoʊldən/,ఆధారపడిన,/ādhārapaḍina/,aadhaarapadina,Adjective,Condition,I am beholden to you for help.,నాకు మీ సహాయం అవసరం.
581,beholder,/bɪˈhoʊldər/,చూసినవాడు,/cūsina vāḍu/,choosina vadu,Noun,Person,The beholder was amazed.,చూసిన వ్యక్తి ఆశ్చర్యపోయాడు.
582,behoove,/bɪˈhuːv/,అవసరము,/avasaramu/,avasaram,Verb,Action,It behooves you to study hard.,మీకు జాగ్రత్తగా చదవడం అవసరం.
583,beige,/beɪʒ/,బెయిజ్ రంగు,/beĭj raṅgu/,beij rangu,Adjective,Color,She wore a beige dress.,ఆమె బెయిజ్ రంగు దుస్తులు ధరిస్తోంది.
584,being,/ˈbiːɪŋ/,జీవి,/jīvi/,jeevi,Noun,Concept,Respect all beings.,అన్ని జీవులను గౌరవించండి.
585,belabor,/bɪˈleɪbər/,మళ్ళీ మాట్లాడు,/mallī māṭlāḍu/,malli matladu,Verb,Action,Do not belabor the point.,విషయాన్ని మళ్ళీ హార్చవద్దు.
586,belabour,/bɪˈleɪbə/,మళ్లీ వివరించు,/mallī vivarincu/,malli vivarinchu,Verb,Action,He belaboured the argument.,అతను తర్కాన్ని మళ్ళీ వివరించాడు.
587,belated,/bɪˈleɪtɪd/,విలంబంగా వచ్చిన,/vilambangā vacchina/,vilambhanga vachhina,Adjective,Time,Belated greetings to you.,విలంబిత శుభాకాంక్షలు.
588,belatedly,/bɪˈleɪtɪdli/,విలంబంగా,/vilambangā/,vilambanga,Adverb,Time,She arrived belatedly.,ఆమె ఆలస్యంగా వచ్చిందు.
589,belch,/bɛltʃ/,బొప్పటి పేగుపైడు,/boppati pēgu paidu/,boppati pegu paidu,Verb,Action,He belched after dinner.,ఆహారం తర్వాత అతను బొప్పటి పేగుపైడు.
590,beleaguer,/bɪˈliːɡər/,ముట్టుకోడు,/muṭṭukōḍu/,muttukodu,Verb,Action,The town was beleaguered by enemies.,పట్టణం శత్రువులతో చుట్టబడింది.
591,beleaguered,/bɪˈliːɡərd/,దురదృష్టవశాత్తూ,/duradṛṣṭavaśāttū/,duradrushtavasattu,Adjective,Condition,They were beleaguered by problems.,వారు సమస్యల ద్వారా బాధపడుతున్నారు.
592,belfry,/ˈbɛlfriː/,గంటి గుండె,/gaṇṭi guṇḍe/,ganti gunde,Noun,Architecture,The bell rang from the belfry.,గంట బెల్ఫ్రీ నుండి మోగింది.
593,belgian,/ˈbɛldʒən/,బెల్జియన్,/beljian/,beljian,Adjective,Nationality,Belgian chocolates are famous.,బెల్జియన్ చాకొలెట్లు ప్రసిద్ధి.
594,belie,/bɪˈlaɪ/,అన్యోన్యమయం చేయు,/anyōnyamayaṁ cēyu/,anyonyamayam cheyu,Verb,Action,His words belied his true feelings.,అతని మాటలు నిజమైన భావాలను చూపించలేదు.
595,belied,/bɪˈlaɪd/,తప్పుగా చూపు,/tappugā cūpu/,tappuga choopu,Adjective,Description,The evidence belied the claim.,సాక్ష్యాలు క్లెయిమ్‌ను తప్పుడు సూచించాయి.
596,belief,/bɪˈliːf/,నమ్మకం,/nam'makaṁ/,nammakam,Noun,Concept,Her belief in justice was strong.,ఆమె న్యాయంపై నమ్మకం బలంగా ఉంద.
597,believe,/bɪˈliːv/,విశ్వసించు,/vi.shva.sin.chu/,vishvasinchu,Verb,Feeling,Believe in yourself.,నీపై నీవు విశ్వసించు.
598,believer,/bɪˈliːvər/,విశ్వాసపాత్రుడు,/viśvāsapātrudu/,vishwasapatrudu,Noun,Person,He is a firm believer in God.,అతను దేవునిపై ఘనమైన విశ్వాసపాత్రుడు.
599,belittle,/bɪˈlɪtl/,తక్కువ చూపు,/takkuva choopu/,takkuva choopu,Verb,Action,Don't belittle her efforts.,ఆమె ప్రయాసలను తక్కువగా చూపకు.
600,bell,/bel/,గంట,/gan.ta/,ganta,Noun,Objects,The bell rings.,గంట మోగుతుంది.
601,belladonna,/ˌbɛləˈdɒnə/,బెల్లడొన్నా,/belladonna/,belladonna,Noun,Plant,Belladonna is a poisonous plant.,బెల్లడొన్నా విషపూరిత మొక్క.
602,bellboy,/ˈbɛlbɔɪ/,బెల్లుబాయి,/bellubayi/,bellubayi,Noun,Person,The bellboy helped with the luggage.,బెల్లుబాయి దుప్పటితో సహాయం చేశాడు.
603,belle,/bɛl/,అందమైన కుమార్తె,/andamaina kumārte/,andamaina kumarte,Noun,Person,She was the belle of the ball.,ఆమె ఆ ఉత్సవంలో అందమైన యువతి.
604,bellhop,/ˈbɛlhɒp/,బెల్ళహాప్,/bellhop/,bellhop,Noun,Person,The bellhop carried the bags.,బెల్ళహాప్ సంచి తీసుకెళ్లాడు.
605,bellicose,/ˈbɛlɪkoʊs/,యుద్ధాత్మక,/yuddhātmak/,yuddhatmaka,Adjective,Character,He had a bellicose attitude.,అతని యుద్ధభావం ఎక్కువ.
606,bellicosity,/bɛlɪˈkɒsɪti/,యుద్ధాత్మకత,/yuddhātmakata/,yuddhatmakata,Noun,Character,His bellicosity was alarming.,అతని యుద్ధాత్మకత భయానకంగా ఉంది.
607,bellied,/ˈbɛlid/,గుండె ఉన్న,/guṇḍe unna/,gunde unna,Adjective,Description,The bellied fish swam quickly.,గుండె ఉన్న చేప త్వరగా ఈదింది.
608,belligerence,/bəˈlɪdʒərəns/,యుద్ధభావం,/yuddhabhāvaṁ/,yuddhabhavam,Noun,Character,His belligerence caused conflicts.,అతని యుద్ధభావం సంఘర్షణలకు కారణమైంది.
609,belligerent,/bəˈlɪdʒərənt/,విభేదాత్మక,/vibhedātmaka/,vibhedatmaka,Adjective,Character,He was belligerent towards everyone.,అతను అందరికీ విభేదాత్మకంగా ఉండేవాడు.
610,belling,/ˈbɛlɪŋ/,గంట మోగించడం,/gaṇṭa mōgiṁcaḍaṁ/,ganta moginchadam,Noun,Sound,The belling of cows heard in the distance.,దూరంలో మేతలు గంతులు మోగాయి.
611,bellman,/ˈbɛlmən/,బెల్లుమనిషి,/bellumaniṣi/,bellumanishi,Noun,Person,The bellman welcomed the guests.,బెల్లుమనిషి అతిథులను స్వాగతించాడు.
612,bellow,/ˈbɛloʊ/,గర్జన చేయు,/garjana cēyu/,garjana cheyu,Verb,Sound,The bull bellowed loudly.,ఎద్దు గట్టిగా గర్జించింది.
613,bellows,/ˈbɛloʊz/,గాలి పంపు,/gāli pampu/,gali pampu,Noun,Tool,The blacksmith used bellows.,నిర్మాత గాలి పంపు ఉపయోగించాడు.
