Category,Difficulty,Question Text,Option A,Option B,Option C,Option D,Correct Answer (Letter),Explanation / Notes
Vocabulary,Hard,What is the antonym of **'enervate'**?,Strengthen,Weaken,Exhaust,Tire,A,Enervate' means to cause someone to feel drained of energy; 'strengthen' is the opposite.
Vocabulary,Easy,What is the noun form of the verb **'create'**?,creating,creativity,creation,creator,C,Creation' is the noun form referring to the act of creating.
Vocabulary,Medium,Find the synonym for **'repudiate'**.,Accept,Reject,Support,Confirm,B,Repudiate' means to refuse to accept or be associated with.
Vocabulary,Hard,What does **'curmudgeon'** mean?,A cheerful person,A bad-tempered person,A singer,A dancer,B,A 'curmudgeon' is a bad-tempered or surly person.
Vocabulary,Medium,The word **'haphazard'** means:,Organized,Random,Planned,Careful,B,Haphazard' means lacking any obvious principle of organization; random.
Vocabulary,Hard,Find the synonym for **'assuage'**.,Worsen,Intensify,Soothe,Aggravate,C,Assuage' means to make an unpleasant feeling less intense; soothe.
Vocabulary,Easy,What is the superlative form of the adjective **'high'**?,higher,highest,more high,highiest,B,The superlative form is 'highest'.
Vocabulary,Medium,What does **'oblivious'** mean?,Aware,Unaware,Careful,Interested,B,Oblivious' means not aware of or not concerned about what is happening around one.
Vocabulary,Hard,What is the antonym of **'abstruse'**?,Obscure,Complex,Clear,Profound,C,Abstruse' means difficult to understand; 'clear' is the antonym.
Vocabulary,Easy,Which word is a synonym for **'simple'**?,Complex,Easy,Difficult,Hard,B,Easy' means achieved without great effort; synonymous with simple.
Vocabulary,Medium,Find the synonym for **'perfunctory'**.,Thorough,Enthusiastic,Cursory,Detailed,C,Perfunctory' means carried out with a minimum of effort or reflection; cursory.
Vocabulary,Hard,What does **'inure'** mean?,Soften,Harden,Sensitize,Weaken,B,"Inure' means to accustom (someone) to something, especially something unpleasant."
Vocabulary,Easy,What is the plural form of the word **'datum'**?,datums,datas,data,datu,C,Data' is the traditional plural form of 'datum' (though 'data' is often used as a singular mass noun).
Vocabulary,Medium,The word **'epistolary'** relates to:,Speeches,Writing,Letters,Poetry,C,Epistolary' means relating to or denoting the writing of letters.
Vocabulary,Hard,Find the synonym for **'ignominious'**.,Honorable,Shameful,Famous,Successful,B,Ignominious' means deserving or causing public disgrace or shame.
Vocabulary,Easy,The opposite of **'exit'** is:,Leave,Enter,Go,Away,B,Enter' is the antonym of 'exit'.
Vocabulary,Hard,A **'largesse'** is:,Stinginess,Generosity,Smallness,Difficulty,B,Largesse' means generosity in giving money or gifts.
Vocabulary,Easy,What is the past tense of the verb **'ring'**?,ringed,rang,rung,ringing,B,Rang' is the simple past tense of 'ring'.
Vocabulary,Medium,Find the synonym for **'candid'**.,Deceitful,Honest,Secretive,Tricky,B,Candid' means truthful and straightforward; honest.
Vocabulary,Hard,What does **'diaphanous'** mean?,Opaque,Thick,Light, almost transparent,Heavy,C
Vocabulary,Easy,Which word is a synonym for **'polite'**?,Rude,Courteous,Mean,Angry,B,Courteous' means showing politeness in one's attitude and behavior.
Vocabulary,Medium,The word **'morose'** means:,Happy,Cheerful,Sullen and ill-tempered,Excited,C,Morose' means sullen and ill-tempered.
Vocabulary,Hard,What is the antonym of **'inchoate'**?,Rudimentary,Developed,Basic,Beginning,B,Inchoate' means not fully developed; 'developed' is the opposite.
Vocabulary,Easy,What is the adjective form of the noun **'health'**?,healthy,healthily,healthier,healthfulness,A,Healthy' is the adjective form.
Vocabulary,Medium,What does **'dearth'** mean?,Abundance,Scarcity,Excess,Wealth,B,Dearth' means a scarcity or lack of something.
Vocabulary,Hard,Find the synonym for **'querulous'**.,Complaining,Cheerful,Silent,Happy,A,Querulous' means complaining in a petulant or whining manner.
Vocabulary,Easy,The opposite of **'weak'** is:,Fragile,Feeble,Strong,Tired,C,Strong' is the antonym of 'weak'.
Vocabulary,Medium,The word **'venerate'** means:,Disrespect,Revere,Ignore,Condemn,B,Venerate' means to regard with great respect; revere.
Vocabulary,Easy,What is the past participle of **'drive'**?,drived,drove,driven,driving,C,Driven' is the past participle of 'drive'.
Vocabulary,Medium,Find the synonym for **'paucity'**.,Plenty,Scarcity,Abundance,Wealth,B,Paucity' means the presence of something only in small or insufficient quantities or amounts; scarcity.
Vocabulary,Hard,What does **'sycophantic'** mean?,Critical,Flattering,Honest,Angry,B,Sycophantic' means excessively flattering or subservient.
Vocabulary,Easy,Which word is a synonym for **'talk'**?,Whisper,Speak,Silent,Mumble,B,Speak' means to say something; synonymous with talk.
Vocabulary,Medium,The word **'alleviate'** means:,Worsen,Relieve,Increase,Hinder,B,"Alleviate' means to make suffering, deficiency, or a problem less severe; relieve."
Vocabulary,Hard,Find the antonym for **'obsequious'**?,Servile,Assertive,Flattering,Compliant,B,Obsequious' means obedient or attentive to an excessive degree; 'assertive' is the opposite.
Vocabulary,Easy,What is the plural form of the word **'crisis'**?,crisises,crises,crisiss,crices,B,Crises' is the irregular plural form.
Vocabulary,Medium,What does **'inadvertent'** mean?,Deliberate,Accidental,Planned,Intentional,B,Inadvertent' means resulting from or characterized by lack of attention; accidental.
Vocabulary,Hard,A **'redolent'** quality is:,Unpleasant,Fragrant,Odorless,Dull,B,Redolent' means strongly reminiscent or suggestive of something; fragrant.
Vocabulary,Medium,The word **'sanctimonious'** means:,Humble,Making a show of being morally superior,Sincere,Honest,B,Sanctimonious' means making a show of being morally superior to other people.
Vocabulary,Hard,Find the synonym for **'meretricious'**.,Genuine,Showily attractive but lacking value,Subtle,Valuable,B,Meretricious' means seemingly attractive but having in reality no value or integrity.
Vocabulary,Easy,What is the comparative form of the adjective **'far'**?,farer,farthest,further/farther,more far,C,Further' and 'farther' are the comparative forms.
Vocabulary,Medium,What does **'rancor'** mean?,Goodwill,Bitterness,Friendliness,Calmness,B,"Rancor' means bitterness or resentfulness, especially long-standing."
Vocabulary,Easy,Which word is a synonym for **'mistake'**?,Error,Correctness,Truth,Success,A,Error' means a mistake; synonymous with mistake.
Vocabulary,Hard,What is the antonym of **'garrulous'**?,Talkative,Quiet,Loud,Verbose,B,Garrulous' means excessively talkative; 'quiet' is the antonym.
Vocabulary,Easy,What is the past tense of the verb **'catch'**?,catched,caught,catchten,catching,B,Caught' is the simple past tense of 'catch'.
Vocabulary,Medium,Find the synonym for **'prudent'**.,Reckless,Careful,Careless,Hasty,B,Prudent' means acting with or showing care for the future; synonymous with careful.
Vocabulary,Hard,What does **'chicanery'** mean?,Honesty,Deception,Truth,Sincerity,B,Chicanery' means the use of trickery or deception.
Vocabulary,Medium,The word **'fastidious'** means:,Easygoing,Attentive to detail,Careless,Lazy,B,Fastidious' means very attentive to and concerned about accuracy and detail.
Vocabulary,Hard,Find the synonym for **'profligate'**.,Thrifty,Wasteful,Economical,Careful,B,Profligate' means recklessly extravagant or wasteful.
Vocabulary,Easy,What is the superlative form of the adjective **'many'**?,more,most,manyer,maniest,B,The superlative form is 'most' (used for count nouns).
Vocabulary,Medium,What does **'auspicious'** mean?,Unfavorable,Favorable,Neutral,Accidental,B,Auspicious' means conducive to success; favorable.
Vocabulary,Hard,What is the antonym of **'perfunctory'**?,Careless,Thorough,Hasty,Brief,B,Perfunctory' means carried out with minimal effort; 'thorough' is the opposite.
Vocabulary,Easy,Which word is a synonym for **'brave'**?,Cowardly,Courageous,Fearful,Timid,B,Courageous' means having or showing courage; synonymous with brave.
Vocabulary,Medium,Find the synonym for **'juxtapose'**.,Separate,Contrast,Place side-by-side,Mix,C,Juxtapose' means to place or deal with close together for contrasting effect.
Vocabulary,Hard,What does **'soporific'** mean?,Awakening,Drowsiness-inducing,Energizing,Exciting,B,Soporific' means tending to induce drowsiness or sleep.
Vocabulary,Easy,What is the plural form of the word **'photo'**?,photos,photoes,photies,photoz,A,Photos' is the plural form.
Vocabulary,Medium,The word **'candid'** means:,Deceitful,Honest,Secretive,Tricky,B,Candid' means truthful and straightforward; honest.
Vocabulary,Hard,Find the synonym for **'sedulous'**.,Lazy,Diligent,Careless,Slow,B,Sedulous' means showing dedication and diligence.
Vocabulary,Easy,The opposite of **'light'** (weight) is:,Bright,Heavy,Soft,Fast,B,Heavy' is the antonym of 'light' (in weight).
Vocabulary,Medium,What does **'adroit'** mean?,Clumsy,Skillful,Awkward,Slow,B,Adroit' means clever or skillful in using the hands or mind.
Vocabulary,Hard,A **'lugubrious'** mood is:,Joyful,Mournful,Angry,Excited,B,Lugubrious' means looking or sounding sad and dismal; mournful.
Vocabulary,Hard,What does **'obdurate'** mean?,Yielding,Stubborn,Flexible,Soft,B,Obdurate' means stubbornly refusing to change one's opinion.
Vocabulary,Easy,Which word is a synonym for **'job'**?,Hobby,Work,Leisure,Rest,B,Work' means activity involving mental or physical effort done in order to achieve a purpose or result; synonymous with job.
Vocabulary,Medium,The word **'mitigate'** means:,Intensify,Lessen,Worsen,Increase,B,"Mitigate' means to make something less severe, serious, or painful."
Vocabulary,Hard,What is the antonym of **'querulous'**?,Complaining,Contented,Whining,Fussy,B,Querulous' means complaining; 'contented' is the opposite.
Vocabulary,Easy,What is the past tense of the verb **'bring'**?,bringed,brought,bringten,bringing,B,Brought' is the simple past tense of 'bring'.
Vocabulary,Medium,What does **'paucity'** mean?,Plenty,Scarcity,Abundance,Excess,B,Paucity' means the presence of something only in small or insufficient quantities; scarcity.
Vocabulary,Hard,Find the synonym for **'capitulate'**.,Resist,Surrender,Fight,Conquer,B,Capitulate' means to cease to resist an opponent or an unwelcome demand; surrender.
Vocabulary,Easy,The opposite of **'new'** is:,Modern,Old,Fresh,Recent,B,Old' is the antonym of 'new'.
Vocabulary,Medium,The word **'irrevocable'** means:,Reversible,Final,Changeable,Temporary,B,"Irrevocable' means not able to be changed, reversed, or recovered; final."
Vocabulary,Easy,What is the past participle of **'swim'**?,swam,swimmed,swum,swimming,C,Swum' is the past participle of 'swim'.
Vocabulary,Medium,Find the synonym for **'inadvertent'**.,Deliberate,Accidental,Planned,Intentional,B,Inadvertent' means resulting from or characterized by lack of attention; accidental.
Vocabulary,Hard,What does **'maverick'** mean?,Conformist,Traditionalist,Independent,Obedient,C,A 'maverick' is an independent-minded person.
Vocabulary,Easy,Which word is a synonym for **'finish'**?,Begin,End,Start,Open,B,End' means to stop or conclude; synonymous with finish.
Vocabulary,Easy,What is the plural form of the word **'radius'**?,radiuses,radii,radises,radi,B,Radii' is the irregular plural form.
Vocabulary,Hard,The opposite of **'acrimony'** is:,Bitterness,Harmony,Hostility,Anger,B,Acrimony' means bitterness; 'harmony' is the opposite.
Vocabulary,Easy,The opposite of **'soft'** is:,Gentle,Hard,Easy,Tender,B,Hard' is the antonym of 'soft'.
Vocabulary,Hard,Find the synonym for **'dichotomy'**.,Agreement,Division,Unity,Similarity,B,A 'dichotomy' is a division or contrast between two things that are or are represented as being opposed.
Vocabulary,Easy,What is the comparative form of the adjective **'tall'**?,taller,tallest,more tall,tallest,A,The comparative form is 'taller'.
Vocabulary,Medium,What does **'morose'** mean?,Happy,Cheerful,Sullen,Excited,C,Morose' means sullen and ill-tempered.
Vocabulary,Easy,Which word is a synonym for **'big'**?,Small,Large,Tiny,Little,B,Large' means of considerable or relatively great size; synonymous with big.
Vocabulary,Hard,The word **'mendacious'** means:,Truthful,Honest,Lying,Sincere,C,Mendacious' means not telling the truth; lying.
Vocabulary,Medium,The word **'skeptical'** means:,Believing,Doubting,Certain,Trusting,B,Skeptical' means having doubts or reservations.
Vocabulary,Easy,What is the noun form of the verb **'judge'**?,judging,judged,judgment,judicial,C,Judgment' (or 'judgement') is the noun form.
Vocabulary,Medium,Find the synonym for **'venerate'**.,Disrespect,Revere,Ignore,Condemn,B,Venerate' means to regard with great respect; revere.
Vocabulary,Hard,What does **'recalcitrant'** mean?,Obedient,Uncooperative,Yielding,Agreeable,B,Recalcitrant' means having an uncooperative attitude toward authority or discipline.
Vocabulary,Easy,What is the past tense of the verb **'spend'**?,spended,spent,spenden,spending,B,Spent' is the simple past tense of 'spend'.
Vocabulary,Hard,What is the antonym of **'ubiquitous'**?,Everywhere,Rare,Common,Present,B,Ubiquitous' means found everywhere; 'rare' is the antonym.
Vocabulary,Medium,Find the synonym for **'inundate'**.,Drain,Flood,Dry,Empty,B,Inundate' means to overwhelm or flood.
Vocabulary,Easy,What is the plural form of the word **'mouse'**?,mouses,mice,mousees,mouseen,B,Mice' is the irregular plural form.
Vocabulary,Easy,The opposite of **'buy'** is:,Keep,Sell,Take,Have,B,Sell' is the antonym of 'buy'.
Vocabulary,Medium,What does **'innocuous'** mean?,Harmful,Dangerous,Harmless,Offensive,C,Innocuous' means not harmful or offensive.
Vocabulary,Hard,A **'panacea'** is a solution for:,A specific disease,All difficulties,Financial problems,Political issues,B,A 'panacea' is a solution or remedy for all difficulties or diseases.
Vocabulary,Easy,What is the past participle of the verb **'fall'**?,falled,fell,fallen,falling,C,Fallen' is the past participle of 'fall'.
Vocabulary,Hard,What is the antonym of **'parochial'**?,Narrow-minded,Global,Local,Restricted,B,Parochial' means narrowly restricted in scope; 'global' is the antonym.
Vocabulary,Easy,What is the plural form of the word **'man'**?,mans,mens,men,manies,C,Men' is the irregular plural form.
Vocabulary,Easy,The opposite of **'in'** is:,Into,Out,Inside,With,B,Out' is the antonym of 'in'.
Vocabulary,Medium,The word **'oblivious'** means:,Aware,Unaware,Careful,Interested,B,Oblivious' means not aware of or not concerned about what is happening around one.
Vocabulary,Easy,What is the superlative form of the adjective **'little'**?,littler,least,less,littlest,B,The superlative form is 'least' (used for non-count nouns).
Vocabulary,Medium,Find the synonym for **'pensive'**.,Happy,Thoughtful,Angry,Energetic,B,"Pensive' means engaged in, or reflecting deep or serious thought."
Vocabulary,Hard,What does **'mercurial'** mean?,Stable,Unpredictable,Constant,Calm,B,Mercurial' means subject to sudden or unpredictable changes of mood or mind.
Vocabulary,Easy,Which word is a synonym for **'fast'**?,Slow,Quick,Dull,Weak,B,Quick' means moving or capable of moving at high speed; synonymous with fast.
Vocabulary,Easy,What is the noun form of the verb **'think'**?,thinking,thought,thinker,thoughtful,B,Thought' is the noun form.
Vocabulary,Medium,What does **'culminate'** mean?,Begin,Reach the highest point,Decline,End abruptly,B,Culminate' means reach a climax or point of highest development.
Vocabulary,Medium,The word **'sardonic'** means:,Sincere,Mocking,Friendly,Serious,B,Sardonic' means grimly mocking or cynical.
Vocabulary,Medium,What does **'irrevocable'** mean?,Reversible,Final,Changeable,Temporary,B,"Irrevocable' means not able to be changed, reversed, or recovered; final."
Vocabulary,Hard,What is the antonym of **'sycophant'**?,Flatterer,Critic,Admirer,Follower,B,A 'sycophant' is a servile flatterer; a 'critic' is the opposite.
Vocabulary,Easy,Which word is a synonym for **'look'**?,Hear,See,Taste,Touch,B,See' means to perceive with the eyes; synonymous with look.
Vocabulary,Hard,What is the antonym of **'assiduous'**?,Diligent,Lazy,Careful,Attentive,B,Assiduous' means showing great care and perseverance; 'lazy' is the antonym.
Vocabulary,Easy,What is the plural form of the word **'bus'**?,buss,buses,bussies,busses,B,Buses' is the plural form.
Vocabulary,Medium,Find the synonym for **'fastidious'**.,Easy to please,Attentive to detail,Careless,Quick to anger,B,Fastidious' means very attentive to and concerned about accuracy and detail.
Vocabulary,Easy,What is the past tense of the verb **'draw'**?,drawed,drew,drawn,drawing,B,Drew' is the simple past tense of 'draw'.
Vocabulary,Hard,What is the antonym of **'languid'**?,Weak,Listless,Energetic,Slow,C,Languid' means lacking spirit; 'energetic' is the opposite.
Vocabulary,Hard,What does **'probity'** mean?,Dishonesty,Integrity,Corruption,Doubt,B,Probity' means the quality of having strong moral principles; integrity.
Vocabulary,Hard,A **'redoubtable'** person is:,Ordinary,Formidable,Simple,Common,B,Redoubtable' means formidable or deserving great respect.
Vocabulary,Easy,What is the past participle of the verb **'see'**?,seed,saw,seen,seeing,C,Seen' is the past participle of 'see'.
Vocabulary,Easy,Which word is a synonym for **'old'**?,Modern,Aged,New,Recent,B,Aged' means having lived for a long time; synonymous with old.
Vocabulary,Easy,What is the plural form of the word **'foot'**?,foots,feets,footies,feet,D,Feet' is the irregular plural form.
Vocabulary,Medium,The word **'plethora'** means:,Scarcity,Lack,Excess,Shortage,C,Plethora' means a large or excessive amount of something.
Vocabulary,Easy,What is the comparative form of the adjective **'many'**?,more,most,manyer,maniest,A,The comparative form is 'more'.
Vocabulary,Medium,The word **'diligent'** means:,Lazy,Hardworking,Careless,Slow,B,Diligent' means having or showing care and conscientiousness in one's work; hardworking.
Vocabulary,Hard,Find the antonym for **'abstruse'**?,Obscure,Complex,Clear,Profound,C,Abstruse' means difficult to understand; 'clear' is the antonym.
Vocabulary,Easy,What is the noun form of the adjective **'happy'**?,happily,happiest,happiness,happier,C,Happiness' is the noun form.
Vocabulary,Hard,Find the synonym for **'churlish'**.,Polite,Gracious,Rude and mean-spirited,Friendly,C,Churlish' means rude in a mean-spirited and surly way.
Vocabulary,Hard,What is the antonym of **'lugubrious'**?,Mournful,Cheerful,Dismal,Serious,B,Lugubrious' means looking sad and dismal; 'cheerful' is the opposite.
