Class_Number,Class_Title_EN,Class_Title_TE,Key_Topics_EN,Key_Topics_TE,Instructions_EN,Instructions_TE,Tips_Tricks_EN,Tips_Tricks_TE,Uses_EN,Uses_TE
32,Modal Review (Should have been / Must have been),Modal Review (Should have been / Must have been),Should have been + V-ing': Should have been doing something in the past (but wasn't). 'Must have been + V-ing': A strong assumption that an action was definitely in progress in the past.,Should have been + V-ing': గతంలో ఒక పని చేస్తూ ఉండాల్సింది (కానీ లేరు). 'Must have been + V-ing': గతంలో ఒక పని ఖచ్చితంగా జరుగుతూ ఉండి ఉంటుంది (బలమైన అంచనా).,"Express a regret (Yesterday evening, I should have been studying for my exam). Make an assumption (He looked very tired; he must have been working all night).","ఒక విచారం చెప్పండి (Yesterday evening, I should have been studying for my exam). ఒక అంచనా వేయండి (He looked very tired; he must have been working all night).","These structures express regret or assumptions about continuous actions in the past, not just single events.","ఈ నిర్మాణాలు గతంలోని కొనసాగుతున్న పనుల (continuous actions) గురించి విచారం లేదా అంచనాలను తెలియజేస్తాయి, కేవలం ఒకేసారి జరిగిన పనుల గురించి కాదు.",These advanced structures are used to express regret or make logical deductions about ongoing actions in the past.,గతంలో కొనసాగుతున్న పనుల గురించి విచారం వ్యక్తం చేయడానికి లేదా తార్కిక అంచనాలు వేయడానికి ఈ అధునాతన నిర్మాణాలను ఉపయోగిస్తారు.
33,Modal Review (May/Might have been),Modal Review (May/Might have been),May/Might have been + V-ing': To express the possibility or doubt that an action was in progress in the past.,May/Might have been + V-ing': గతంలో ఒక పని జరుగుతూ ఉండి ఉండవచ్చు అనే అవకాశాన్ని లేదా అనుమానాన్ని వ్యక్తం చేయడానికి.,A friend is not answering the phone. Guess the reason. (He may have been sleeping. He might have been driving.),ఒక స్నేహితుడు ఫోన్ ఎత్తడం లేదు. కారణం ఊహించండి. (He may have been sleeping. He might have been driving.),This is an uncertain guess about an ongoing action in the past. 'Might' suggests an even lower possibility.,ఇది గతంలో కొనసాగుతున్న చర్య గురించి ఒక ఖచ్చితత్వం లేని ఊహ. 'Might' ఇంకా తక్కువ అవకాశాన్ని సూచిస్తుంది.,To speculate about what someone might have been doing in the past when you are not sure.,గతంలో ఒకరు ఏమి చేస్తూ ఉండవచ్చో అనే దానిపై ఖచ్చితంగా తెలియని సందర్భాలలో ఊహాగానాలు చేయడానికి.
34,Modal Review (Would have been / Could have been),Modal Review (Would have been / Could have been),Would have been + V-ing': An action would have been in progress in the past if a condition had been met (hypothetical). 'Could have been + V-ing': There was a possibility of an action being in progress in the past (but it didn't happen).,"Would have been + V-ing': ఒక షరతు నెరవేరి ఉంటే, గతంలో ఒక పని జరుగుతూ ఉండేది (ఊహ). 'Could have been + V-ing': గతంలో ఒక పని చేస్తూ ఉండే అవకాశం ఉండేది (కానీ జరగలేదు).","Write hypothetical sentences. (If I hadn't come here, I would have been working in my village. If you had helped me, I could have been finishing the project faster.)","ఊహాజనిత వాక్యాలు రాయండి. (If I hadn't come here, I would have been working in my village. If you had helped me, I could have been finishing the project faster.)",These structures usually come with 'If' clauses and describe completely hypothetical or unreal past situations.,ఈ నిర్మాణాలు సాధారణంగా 'If' క్లాజులతో కలిసి వస్తాయి మరియు పూర్తిగా ఊహాజనితమైన లేదా జరగని గత పరిస్థితులను వివరిస్తాయి.,"To imagine an unreal past, and to say what would have been happening in the past due to missed opportunities.","జరగని గతం గురించి ఊహించుకోవడానికి, మరియు కోల్పోయిన అవకాశాల వల్ల గతంలో ఏమి జరుగుతూ ఉండేదో చెప్పడానికి."
35,Modal Review (Summary),Modal Review (Summary),"Reviewing all the Modal + have been + V-ing structures learned so far. Understanding the subtle differences in meaning (regret, assumption, possibility, hypothesis).","ఇప్పటివరకు నేర్చుకున్న అన్ని Modal + have been + V-ing నిర్మాణాలను సమీక్షించడం. వాటి మధ్య ఉన్న సూక్ష్మమైన అర్థ భేదాలను (విచారం, అంచనా, అవకాశం, ఊహ) అర్థం చేసుకోవడం.","Write one original example sentence for each structure (should have been, must have been, may have been, would have been).","ప్రతి నిర్మాణానికి (should have been, must have been, may have been, would have been) ఒక సొంత ఉదాహరణ వాక్యాన్ని రాయండి.","These structures make your English more advanced, nuanced, and natural. They help you express your feelings precisely.","ఈ నిర్మాణాలు మీ ఇంగ్లీషును మరింత ఉన్నతంగా, సూక్ష్మంగా మరియు సహజంగా చేస్తాయి. ఇవి మీ భావాలను కచ్చితంగా వ్యక్తీకరించడానికి సహాయపడతాయి.","To clearly convey your opinions, assumptions, and hypotheses about ongoing actions in the past in advanced conversations and writing.","అధునాతన సంభాషణలలో మరియు రచనలలో, గతంలో కొనసాగుతున్న పనుల గురించి మీ అభిప్రాయాలను, అంచనాలను, మరియు ఊహలను స్పష్టంగా తెలియజేయడానికి."
36,External Obligation (Have to / Has to),బాహ్య విధి (External Obligation - Have to / Has to),"To say that you have to do something because of a rule, law, or someone else's order ('have to do'). It's an external necessity, not a personal wish.","ఒక నియమం, చట్టం లేదా ఇతరుల ఆదేశం కారణంగా ఒక పని చేయాల్సి ఉందని చెప్పడానికి ('చేయాల్సి ఉంది'). ఇది వ్యక్తిగత కోరిక కాదు, ఒక బాహ్య అవసరం.","Write down some things you have to do every day (as a duty). (e.g., I have to go to the office daily. I have to pay the bills.)","మీరు ప్రతిరోజూ చేయాల్సిన కొన్ని పనులను (బాధ్యతగా) రాయండి. (e.g., I have to go to office daily. I have to pay the bills.)","There is a difference between 'must' and 'have to'. 'must' is often a personal, internal feeling (I must help him). 'have to' is an external rule (I have to wear a uniform).","must' మరియు 'have to' మధ్య తేడా ఉంది. 'must' అనేది తరచుగా వ్యక్తిగత, అంతర్గత భావన (I must help him). 'have to' అనేది బాహ్య నియమం (I have to wear a uniform).","To talk about job responsibilities, school rules, and legal requirements.","ఉద్యోగ బాధ్యతలు, పాఠశాల నియమాలు, మరియు చట్టపరమైన అవసరాల గురించి మాట్లాడటానికి."
37,Necessity (Need to / Needs to),అవసరం (Necessity - Need to / Needs to),To say that you need to do something to achieve a goal or fulfill a need ('need to do').,ఒక లక్ష్యాన్ని సాధించడానికి లేదా ఒక అవసరాన్ని తీర్చుకోవడానికి ఒక పని చేయాలి అని చెప్పడానికి ('చేయాల్సిన అవసరం ఉంది').,"Make a list of necessary things you need to do this week. (e.g., I need to buy groceries. He needs to finish his assignment.)","మీరు ఈ వారం చేయాల్సిన అవసరమైన పనుల జాబితాను రాయండి. (e.g., I need to buy groceries. He needs to finish his assignment.)","have to' indicates an obligation, while 'need to' indicates a necessity. Sometimes they can be used interchangeably.","have to' ఒక బాధ్యతను సూచిస్తే, 'need to' ఒక అవసరాన్ని సూచిస్తుంది. కొన్నిసార్లు ఈ రెండింటినీ ఒకదానికొకటి బదులుగా వాడవచ్చు.","To talk about the tasks required to reach your goals, or what needs to be done to solve a problem.","మీ లక్ష్యాలను చేరుకోవడానికి అవసరమైన పనుల గురించి, లేదా ఒక సమస్యను పరిష్కరించడానికి ఏమి చేయాలో చెప్పడానికి."
38,Courage & Moral Duty (Dare to / Ought to),ధైర్యం & నైతిక విధి (Courage & Moral Duty - Dare to / Ought to),Dare to': To say you have the courage to do something difficult or dangerous ('to dare'). 'Ought to': To say that doing something is a moral duty ('morally should').,Dare to': ఒక కష్టమైన లేదా ప్రమాదకరమైన పని చేయడానికి ధైర్యం ఉందని చెప్పడానికి ('ధైర్యం చేయడం'). 'Ought to': ఒక పని చేయడం నైతిక బాధ్యత అని చెప్పడానికి ('నైతికంగా చేయాలి').,Write a sentence about a brave act (He dares to question the manager). Talk about a moral duty (We ought to respect our elders).,ఒక ధైర్యమైన చర్య గురించి వాక్యం రాయండి (He dares to question the manager). ఒక నైతిక బాధ్యత గురించి చెప్పండి (We ought to respect our elders).,Dare' is mostly used in questions and negative sentences (How dare you!). 'Ought to' is similar to 'should' but more formal and places more emphasis on morality.,Dare' ఎక్కువగా ప్రశ్నలు మరియు వ్యతిరేక వాక్యాలలో వాడతారు (How dare you!). 'Ought to' అనేది 'should' లాంటిదే కానీ మరింత అధికారికంగా మరియు నైతికతపై ఎక్కువ దృష్టి పెడుతుంది.,"dare to' is used to describe someone's courage or bravery. 'ought to' is used to talk about our moral duties towards society, elders, and the country.","ఒకరి ధైర్యాన్ని లేదా సాహసాన్ని వర్ణించడానికి 'dare to' వాడతారు. సమాజం, పెద్దలు, మరియు దేశం పట్ల మన నైతిక బాధ్యతల గురించి మాట్లాడటానికి 'ought to' వాడతారు."
39,Wishes & Desires (Want to / Wish to / Would like to),కోరికలు (Wishes & Desires - Want to / Wish to / Would like to),To express a desire or interest in doing something ('want to do').,ఒక పని చేయాలనే కోరికను లేదా ఆసక్తిని వ్యక్తం చేయడానికి ('చేయాలనుకుంటున్నాను').,"Write three things you want to do in the future. (e.g., I want to travel the world. I wish to start a business. I would like to learn a new language.)","మీరు భవిష్యత్తులో చేయాలనుకుంటున్న మూడు పనులను రాయండి. (e.g., I want to travel the world. I wish to start a business. I would like to learn a new language.)",Would like to' is the most polite of the three. 'Want to' is very common and direct. 'Wish to' is a bit more formal.,Would like to' ఈ మూడింటిలో అత్యంత మర్యాదపూర్వకమైనది. 'Want to' చాలా సాధారణమైనది మరియు ప్రత్యక్షమైనది. 'Wish to' కొంచెం అధికారికంగా ఉంటుంది.,"To talk about your wishes, hopes, and goals. Also, to politely make offers (Would you like to join us?) or requests.","మీ కోరికలు, ఆశలు, మరియు లక్ష్యాల గురించి చెప్పడానికి. అలాగే, మర్యాదపూర్వకంగా ఇతరులకు ఆఫర్లు ఇవ్వడానికి (Would you like to join us?) లేదా అభ్యర్థనలు చేయడానికి."
40,"Ability, Willingness, Plan (Able to, Willing to, Going to)","సామర్థ్యం, సుముఖత, ప్రణాళిక (Able to, Willing to, Going to)",be able to': To express ability as an alternative to 'can'. 'be willing to': To say you are happy to do something. 'be going to': To state a definite future plan.,be able to': 'can'కు ప్రత్యామ్నాయంగా సామర్థ్యాన్ని చెప్పడానికి. 'be willing to': ఒక పని చేయడానికి ఇష్టపూర్వకంగా ఉన్నామని చెప్పడానికి. 'be going to': ఒక ఖచ్చితమైన భవిష్యత్ ప్రణాళికను చెప్పడానికి.,Rewrite a sentence with 'can' using 'be able to' (I can swim -> I am able to swim). State your future plan with 'be going to' (I am going to start a new course).,can'తో ఉన్న వాక్యాన్ని 'be able to'తో తిరిగి రాయండి (I can swim -> I am able to swim). మీ భవిష్యత్ ప్రణాళికను 'be going to'తో చెప్పండి (I am going to start a new course).,"The advantage of 'be able to' is that it can be used in all tenses (was able to, will be able to), whereas 'can' cannot. 'be going to' indicates a strong intention.","be able to' యొక్క ప్రయోజనం ఏమిటంటే దీనిని అన్ని కాలాలలో వాడవచ్చు (was able to, will be able to), కానీ 'can' అలా వాడలేము. 'be going to' అనేది ఒక బలమైన ఉద్దేశ్యాన్ని సూచిస్తుంది.","To clearly express ability, willingness, and definite future plans in various tenses.","సామర్థ్యాన్ని, సుముఖతను, మరియు ఖచ్చితమైన భవిష్యత్ ప్రణాళికలను వివిధ కాలాలలో స్పష్టంగా తెలియజేయడానికి."
41,Past Obligation & Habit (Had to / Used to),గత విధి & అలవాటు (Past Obligation & Habit - Had to / Used to),Had to': To say that you were obliged to do something in the past. 'Used to': To say that a habit existed in the past but no longer does ('used to do').,"Had to': గతంలో ఒక పని చేయాల్సి వచ్చింది అని చెప్పడానికి. 'Used to': గతంలో ఒక అలవాటు ఉండేది, కానీ ఇప్పుడు లేదు అని చెప్పడానికి ('ఒకప్పుడు చేసేవాడిని').",Talk about something you had to do in the past (I had to leave the party early). Talk about an old habit of yours (I used to play video games a lot).,గతంలో మీరు తప్పనిసరిగా చేయాల్సి వచ్చిన ఒక పని గురించి చెప్పండి (I had to leave the party early). మీ పాత అలవాటు గురించి చెప్పండి (I used to play video games a lot).,Used to' is used not only for past habits but also for past states (I used to be a student). 'Would' is used only for actions.,"Used to' కేవలం గత అలవాట్లకే కాదు, గత స్థితులకు (past states) కూడా వాడతారు (I used to be a student). 'Would' కేవలం పనులకు (actions) మాత్రమే వాడతారు.",To describe past obligations and to talk about old habits or states that no longer exist.,"గతంలోని తప్పనిసరి పరిస్థితులను వివరించడానికి, మరియు ఇప్పుడు లేని పాత అలవాట్లు లేదా స్థితుల గురించి మాట్లాడటానికి."
42,Tenses Review (Part 1),కాలాల సమీక్ష (Tenses Review - Part 1),Reviewing the 12 tenses learned so far in a table format. Recalling the Helping Verb and main Verb Form for each tense.,ఇప్పటివరకు నేర్చుకున్న 12 కాలాలను (Tenses) ఒక పట్టిక రూపంలో సమీక్షించడం. ప్రతి కాలం యొక్క సహాయక క్రియ (Helping Verb) మరియు ప్రధాన క్రియ రూపం (Verb Form) ఏమిటో గుర్తుచేసుకోవడం.,Look at the table and try to write an example sentence for each tense in your own words.,"పట్టికను చూసి, ప్రతి కాలానికి ఒక ఉదాహరణ వాక్యాన్ని మీ సొంత మాటలలో రాయడానికి ప్రయత్నించండి.",This table is an excellent tool for comparing all the tenses at once. It creates a clear picture in your mind.,ఈ పట్టిక అన్ని కాలాలను ఒకేచోట పోల్చి చూసుకోవడానికి ఒక అద్భుతమైన సాధనం. ఇది మీ మనస్సులో ఒక స్పష్టమైన చిత్రాన్ని ఏర్పరుస్తుంది.,"To understand the entire structure of English grammar at once, and to quickly recall which tense to use in which situation.","ఇంగ్లీష్ వ్యాకరణం యొక్క మొత్తం నిర్మాణాన్ని ఒకేసారి అర్థం చేసుకోవడానికి, మరియు ఏ సందర్భంలో ఏ కాలాన్ని వాడాలో త్వరగా గుర్తుకు తెచ్చుకోవడానికి."
43,Tenses Review (Part 2),కాలాల సమీక్ష (Tenses Review - Part 2),"Taking a single verb (e.g., take coffee) and showing how it can be said in all 12 tenses with examples. Noticing how the meaning changes with each sentence.","ఒకే క్రియను (e.g., take coffee) తీసుకొని, దానిని 12 కాలాలలో ఎలా చెప్పవచ్చో ఉదాహరణలతో సహా చూపించడం. ప్రతి వాక్యానికి అర్థం ఎలా మారుతుందో గమనించడం.","Take the phrase 'speak English' and rewrite it in all 12 tenses. (e.g., I speak English, I am speaking English, I have spoken English, etc.)","speak English' అనే పదబంధాన్ని తీసుకొని, దానిని 12 కాలాలలో మార్చి రాయండి. (e.g., I speak English, I am speaking English, I have spoken English, etc.)","Through this exercise, you will gain complete clarity on the practical use of each tense. It's not just about memorizing rules, but applying them in practice.","ఈ అభ్యాసం ద్వారా, ప్రతి కాలం యొక్క ఆచరణాత్మక ఉపయోగంపై మీకు పూర్తి స్పష్టత వస్తుంది. ఇది కేవలం నియమాలను బట్టీ పట్టడం కాదు, వాటిని ఆచరణలో పెట్టడం.",To clearly understand how to describe the same action in different time contexts and to choose the correct tense in your conversation.,వివిధ సమయ సందర్భాలలో ఒకే చర్యను ఎలా వర్ణించాలో స్పష్టంగా అర్థం చేసుకోవడానికి మరియు మీ సంభాషణలో సరైన కాలాన్ని ఎంచుకోవడానికి.
44,Active & Passive Voice,కర్తరి మరియు కర్మణి ప్రయోగాలు (Active & Passive Voice),Understanding the difference between Active Voice (the subject does the action - Rama killed Ravana) and Passive Voice (the action is done to the subject - Ravana was killed by Rama). Passive Voice structure: Object + be-form + V3 + by + Subject.,Active Voice (కర్త పనిని చేస్తుంది - Rama killed Ravana) మరియు Passive Voice (పని కర్తపై జరుగుతుంది - Ravana was killed by Rama) మధ్య తేడాను అర్థం చేసుకోవడం. Passive Voice నిర్మాణం: Object + be-form + V3 + by + Subject.,"Convert some simple Active Voice sentences into Passive Voice. (e.g., He writes a letter -> A letter is written by him. She is singing a song -> A song is being sung by her.)","కొన్ని సాధారణ Active Voice వాక్యాలను Passive Voiceలోకి మార్చండి. (e.g., He writes a letter -> A letter is written by him. She is singing a song -> A song is being sung by her.)",Passive Voice is used when the doer of the action is not important or unknown. It is used when the action or the result is more important.,పని చేసే వ్యక్తి (doer) ముఖ్యం కానప్పుడు లేదా తెలియనప్పుడు Passive Voice వాడతారు. చర్య (action) లేదా ఫలితం (result) ముఖ్యమైనప్పుడు దీనిని ఉపయోగిస్తారు.,"Passive Voice is frequently used in newspaper headlines (A new bridge was built), scientific reports, and official announcements.","వార్తాపత్రికల శీర్షికలలో (A new bridge was built), శాస్త్రీయ నివేదికలలో, మరియు అధికారిక ప్రకటనలలో Passive Voice ఎక్కువగా వాడబడుతుంది."
45,Comprehensive Review of 'Be' Forms,Be' రూపాల సమగ్ర సమీక్ష (Comprehensive Review of 'Be' Forms),"Comprehensively reviewing how all forms of 'Be' (am, is, are, was, were, be, being, been) can be used with nouns, adjectives, V-ing (active), and V3 (passive).","Be' యొక్క అన్ని రూపాలను (am, is, are, was, were, be, being, been) నామవాచకాలు, విశేషణాలు, V-ing (active), మరియు V3 (passive) లతో ఎలా ఉపయోగించవచ్చో సమగ్రంగా సమీక్షించడం.","Using the provided charts, write an example sentence for each 'Be' structure (e.g., can be, should be, have been, to be).","ఇచ్చిన చార్ట్‌లను ఉపయోగించి ప్రతి 'Be' నిర్మాణానికి (e.g., can be, should be, have been, to be) ఒక ఉదాహరణ వాక్యం రాయండి.",This class is like the heart of English sentence structure. It shows how the small word 'Be' can be used to construct many different types of sentences. It integrates your entire grammatical knowledge.,ఈ తరగతి ఇంగ్లీష్ వాక్య నిర్మాణం యొక్క గుండె లాంటిది. 'Be' అనే చిన్న పదం ఎన్ని రకాలుగా వాక్యాలను నిర్మించగలదో ఇది చూపిస్తుంది. ఇది మీ మొత్తం వ్యాకరణ పరిజ్ఞానాన్ని ఏకీకృతం చేస్తుంది.,To understand the fundamental structures needed to build almost any type of sentence in English. This will make your grammatical foundation very strong.,ఇంగ్లీషులో దాదాపు ఏ రకమైన వాక్యాన్నైనా నిర్మించడానికి అవసరమైన ప్రాథమిక నిర్మాణాలను అర్థం చేసుకోవడానికి. ఇది మీ వ్యాకరణ పునాదిని చాలా బలంగా చేస్తుంది.
